Feature,Description
Create Note,"Tap the green New note button.

Older version of Evernote for Android: Tap the green plus button (+)."
Advanced Search,"Evernote?s powerful search makes it easy to quickly locate whatever you?re looking for. Some notable features include:

Robust search dropdown menu with quick access to:
Search suggestions. Real-time suggestions give you answers as you type.
Saved searches. Create a saved search for complex searches or things you search for frequently.
Notes, notebooks, and Spaces. Quick access to go to specific content.
Search filters. Narrow results to find exactly what you need.
Search without punctuation. Find what you need regardless of punctuation.
PDF and Document search. Find text in PDFs, Microsoft Office docs, images, presentations, and scanned documents instantly.
Handwriting search. Find handwritten text in images attached to notes.
Advanced search syntax and Boolean search. Search your notes using special search commands.
Some search features are only available with certain Evernote plans. Learn more >>

To take advantage of these search features, be sure you?re using the new Evernote for Mac, Windows, iOS, Android, and Web.

Search Dropdown
Search features

There are four sections in the search dropdown: Search suggestions, Go to..., Add filter, and Saved searches. These suggestions are powered by an algorithm that predicts what may be relevant to you based on various factors, such as prior searches and recent activity.

Search suggestions
Search suggestions are located at the top of the dropdown list that appears when you click or tap into the search bar and are indicated by a magnifying glass icon on the left. Clicking on a search suggestion will run the suggested search.

Saved searches
If you have saved searches set up, those will appear below search suggestions.

To create a new saved search, simply execute a search, then click or tap the More actions button (three dots) at the top of the note list panel and select Save search.... To change the name of a saved search, or delete it altogether, run the saved search, click or tap the same three dots at the top of the note list panel, then select Edit saved search... or Delete saved search.

If you do not have any saved searches, this section will not appear in your search dropdown.

Learn more >>

Go to...
This section suggests specific notes, notebooks, and spaces. Selecting one of these will directly open that particular note or notebook, helping you get to where you need faster.

Add filters
Search filters allow you to quickly search for notes that contain a specific type of content. These filters may appear in the search dropdown if you have this type of content. Alternatively, you can type the name of the filter into the search bar, then click or tap on the filter name to apply it. Note that the filter will not appear if you do not have notes with that type of content.

Filters are available for content that contains:

Addresses
Archive files
Attachments
Audio
Calendar events
Checkboxes
Code blocks
Contacts
Dates
Document files
Email addresses
Encrypted
Google Drive
Images
Integers
Lists
Numbers
Office files
PDF files
Percentages
Person names
Phone numbers
Presentation files
Prices
Spreadsheets
Tables
Time
URLs
Video
Webclips
Other filters can be applied to search results by clicking the Add filters icon above the list of search results (on desktop), or by tapping the three dots in the upper right corner and selecting Filter notes (on mobile). From there, you will see the full list of filter options available, including:

Tags
Located in
Contains
Created date
Updated date
To learn more, visit Filter your notes list.

Searching without punctuation
Evernote can search your content even when there are variations of punctuation between the entered text and the actual spelling in the note. Some examples include:

Dash - Results for ""check-in"" can be searched by ""check,"" ""in,"" or ""checkin""
Underscore - Results for ""customer_id_number"" can be searched by ""customer,"" ""id,"" ""number,"" or ""customeridnumber""
Period - Results for ""R.S.V.P."" can be searched by ""rsvp""
Apostrophe - Results for ""O'Connor"" can be searched by ""connor"" or ""oconnor""
URL - Results for ""http://www.evernote.com/download"" can be searched by ""www,"" ""evernote,"" ""com,"" ""download,"" or ""evernotecom"""
PDF and Document search,"With Evernote, you can search PDFs created from:

Microsoft Word, Adobe Acrobat, or other office and word processing applications (Evernote Premium and Business only)
Scanned documents
Which types of scanned PDFs are searchable?
Scanned PDFs with clear, typed text (handwriting is not searchable inside PDFs)
PDFs that do not already contain text that you can select or copy
PDFs with at least one page with a small image (1025 pixels of image data)
PDFs less than 100 pages long
PDFs less than 25 MB in size
PDFs that are not password-protected
PDFs that are not corrupted or unreadable
Troubleshooting: If scanned PDFs are not appearing in your search results
Sync Evernote. It can take up to 4 hours for Evernote to recognize text in newly attached PDFs. If you encounter sync errors, check here for troubleshooting suggestions. Note: If you are working with a local notebook, PDFs inside that notebook are not synced and will not be searchable. Move the note into a synced notebook.
Search Evernote for a word you know is inside the scanned PDF. If the word isn't found, the file is not indexed for search.
Open the PDF in Adobe Reader or your PDF viewer and try selecting text in the file. If the text is selectable, it should show up in Evernote search. If text is not selectable, your PDF is probably scanned images and you need Evernote Premium for the text to be recognized.
Contact us for additional help."
Boolean search,"Advanced search syntax gives you the ability to search your notes using special search commands, like by the date they were created, a specific tag, or the type of content they contain (audio, images, etc.)

Geographic search: Find notes based on the location they were created using latitude, longitude, and radius.

Boolean search: Boolean search is a type of search where you can combine keywords with operators (or modifiers). You can search in Evernote using AND, OR, NOT, and ( )."
Handwriting search,"Did you know that when you snap a photo or attach an image to a note, Evernote can find and identify text ? including handwritten text ? inside that image?

How it works
Typewritten text and handwritten notes that are in JPG, PNG, or GIF file format are evaluated by our indexing system. Text found within an image will be evaluated if it matches one of the following orientations within a few degrees:

0ø ? normal horizontal orientation
90ø ? vertical orientation
270ø ? vertical orientation
Text that does not match one of these orientations will be ignored (including diagonal and inverted text). When images are indexed, they may turn up several results. For example, the indexing system may look at a word and decide that it is either ?cat"", ?bat?, or ?3at?.

The best way to ensure that handwriting, specifically, is found and indexed is to follow these guidelines:

The clearer the handwriting, the more likely it will be accurately indexed for search. If the penmanship is difficult to read, then Evernote will have a much harder time discerning the written words.
Keep in mind that, instead of generating a single match for a given handwritten word, Evernote will generate several possible matches for the word. For example, the word ""flat"" as written in a JPG might be indexed as ""flat"", ""float"" or ""fiat"".
Currently, Evernote can index 28 typewritten languages and 11 handwritten languages. You can choose which language is used when indexing by changing the Recognition Language setting in your "
Find notes,
Take notes,"You can keep pretty much any type of content in a note. Here are some ideas to get you started:

Type, write, or even record audio notes from any meeting.
Annotate photos and PDFs for quick communication with teams working remotely in field offices or building sites.
Photos of anything that might inspire new ideas, new designs, or new compositions.
Snap photos of a whiteboard or Post-it ? Notes from a brainstorm session.
Scan contracts, legal documents, receipts, or business cards.
Use your computer, mobile phone, or tablet to create any kind of note and recall them as needed."
Types of content to a note,"Notes aren't just for plain text. You can save many types of content in a note. The most common include:

File attachments

Checkboxes and checklists

Bulleted and numbered lists

Images from your device's saved photos

Images taken with the in-app camera

Audio recordings"
Customize styles and layouts,"Use the text formatting and layout tools to change the way the note looks:

Text font and style tools: Bold, italicize, and underscore text
Highlighting tool: Highlight the selected text
List tools: Create checklists, bulleted lists, and numbered lists
Layout tools: Insert a line divider, realign text, and insert a table"
Create reminders to manage tasks,"Use reminders to keep track of notes that contain time-sensitive information, and receive alerts for upcoming tasks and events."
